id,seller_id,latitude,longitude,datetime,created_at,updated_at
188,3,7.1312204,-73.1297553,2020-07-06 10:58:38,2020-07-06 10:58:38,2020-07-06 10:58:38
189,1,7.1294394,-73.1221747,2020-07-06 10:58:40,2020-07-06 10:58:40,2020-07-06 10:58:40
190,3,7.1312204,-73.1297553,2020-07-06 10:58:55,2020-07-06 10:58:55,2020-07-06 10:58:55
191,34,3.493089,-76.4952391,2020-07-06 10:59:03,2020-07-06 10:59:03,2020-07-06 10:59:03
192,3,7.1312217,-73.1297563,2020-07-06 10:59:09,2020-07-06 10:59:09,2020-07-06 10:59:09
193,1,7.1289945,-73.1222487,2020-07-06 10:59:10,2020-07-06 10:59:10,2020-07-06 10:59:10
194,3,7.1312224,-73.1297577,2020-07-06 10:59:39,2020-07-06 10:59:39,2020-07-06 10:59:39
195,1,7.129581,-73.1220969,2020-07-06 10:59:41,2020-07-06 10:59:41,2020-07-06 10:59:41
196,3,7.1312224,-73.1297577,2020-07-06 10:59:43,2020-07-06 10:59:43,2020-07-06 10:59:43
197,3,7.1312222,-73.1297572,2020-07-06 11:00:10,2020-07-06 11:00:10,2020-07-06 11:00:10
198,1,7.1296167,-73.1221116,2020-07-06 11:00:11,2020-07-06 11:00:11,2020-07-06 11:00:11
200,3,7.1312216,-73.1297541,2020-07-06 11:00:39,2020-07-06 11:00:39,2020-07-06 11:00:39
201,1,7.1291525,-73.1220957,2020-07-06 11:00:42,2020-07-06 11:00:42,2020-07-06 11:00:42
202,3,7.1312227,-73.129758,2020-07-06 11:01:10,2020-07-06 11:01:10,2020-07-06 11:01:10
203,1,7.1289677,-73.1221795,2020-07-06 11:01:12,2020-07-06 11:01:12,2020-07-06 11:01:12
204,3,7.1312221,-73.1297555,2020-07-06 11:01:40,2020-07-06 11:01:40,2020-07-06 11:01:40
205,1,7.1282912,-73.1220041,2020-07-06 11:01:43,2020-07-06 11:01:43,2020-07-06 11:01:43
206,34,3.493089,-76.4952391,2020-07-06 11:02:04,2020-07-06 11:02:04,2020-07-06 11:02:04
207,3,7.1312225,-73.1297571,2020-07-06 11:02:10,2020-07-06 11:02:10,2020-07-06 11:02:10
208,1,7.1284538,-73.122146,2020-07-06 11:02:13,2020-07-06 11:02:13,2020-07-06 11:02:13
209,1,7.1284538,-73.122146,2020-07-06 11:02:36,2020-07-06 11:02:36,2020-07-06 11:02:36
210,3,7.131222,-73.1297556,2020-07-06 11:02:41,2020-07-06 11:02:41,2020-07-06 11:02:41
211,1,7.1292051,-73.1221059,2020-07-06 11:02:43,2020-07-06 11:02:43,2020-07-06 11:02:43
212,3,7.1312226,-73.1297584,2020-07-06 11:03:11,2020-07-06 11:03:11,2020-07-06 11:03:11
213,1,7.1295912,-73.122128,2020-07-06 11:03:13,2020-07-06 11:03:13,2020-07-06 11:03:13
214,3,7.1312224,-73.1297575,2020-07-06 11:03:41,2020-07-06 11:03:41,2020-07-06 11:03:41
215,1,7.1295349,-73.1221363,2020-07-06 11:03:44,2020-07-06 11:03:44,2020-07-06 11:03:44
216,3,7.1312224,-73.1297575,2020-07-06 11:03:50,2020-07-06 11:03:50,2020-07-06 11:03:50
217,3,7.1312224,-73.1297575,2020-07-06 11:03:54,2020-07-06 11:03:54,2020-07-06 11:03:54
218,34,3.493089,-76.4952391,2020-07-06 11:04:04,2020-07-06 11:04:04,2020-07-06 11:04:04
219,3,7.1312223,-73.1297572,2020-07-06 11:04:12,2020-07-06 11:04:12,2020-07-06 11:04:12
220,1,7.1294507,-73.1220328,2020-07-06 11:04:15,2020-07-06 11:04:15,2020-07-06 11:04:15
221,3,7.1312228,-73.1297584,2020-07-06 11:04:42,2020-07-06 11:04:42,2020-07-06 11:04:42
